,country,range,Voter turnout (highest score=1),Freedom of Religion (highest score=1),Urban population (% of total population),ethnicity_ratio,economic_stability_index,political_social_index,change,year
203,Netherlands,2006.0-2010.0,0.755,0.9475,85.84075,0.95,-1.6136704383065588,0.3085759191659663,True,2010.0
204,Netherlands,2010.0-2012.0,0.71,0.99,88.23349999999999,0.95,-2.268295708295706,0.3334847059731728,False,2012.0
205,Netherlands,2012.0-2017.0,0.722,1.0,90.1524,0.95,-0.8902901384329909,0.31826112852549526,False,2017.0
206,Netherlands,2017.0-2021.0,0.765,0.885,92.0435,0.95,-1.041211482038125,0.24469973780136145,False,2021.0
207,Netherlands,2021.0-2023.0,0.7293128205128208,0.9329282051282052,93.0325,0.9499999999999998,1.238059832365096,0.25020499715213346,True,2023.0
208,New Zealand,1990.0-1996.0,0.8,0.9799999999999999,85.24371428571429,0.7394285714285714,-1.0216280202765038,0.2180817388356964,False,1996.0
209,New Zealand,1996.0-1999.0,0.8066666666666666,0.98,85.861,0.676,-0.2630003245754107,0.2552619219708615,True,1999.0
210,New Zealand,1999.0-2002.0,0.7466666666666667,0.98,86.094,0.676,0.551269492838259,0.26949316796493195,False,2002.0
211,New Zealand,2002.0-2005.0,0.7433333333333333,0.98,86.281,0.676,0.3665830665461553,0.27586816884648696,False,2005.0
212,New Zealand,2005.0-2008.0,0.7866666666666667,0.98,86.33999999999999,0.676,-1.571041438935086,0.2820121169688745,True,2008.0
213,New Zealand,2008.0-2011.0,0.7533333333333333,0.98,86.16000000000001,0.676,-1.881492681289683,0.2923907960532991,False,2011.0
214,New Zealand,2011.0-2014.0,0.7066666666666667,1.0,86.221,0.676,-0.1785887856922186,0.26439407677164256,False,2014.0
215,New Zealand,2014.0-2017.0,0.7333333333333334,0.9633333333333334,86.40233333333333,0.676,-0.6007591351548017,0.2615885482266573,False,2017.0
216,New Zealand,2017.0-2020.0,0.7633333333333333,0.9633333333333334,86.61733333333332,0.676,-2.2110405851108332,0.28425476070833217,True,2020.0
217,New Zealand,2020.0-2023.0,0.7446427350427349,0.9984706552706553,86.88600000000001,0.6772464729512576,1.1871274940100118,0.27571617235840495,True,2023.0
218,Norway,1990.0-1997.0,0.7737499999999999,0.93125,73.215625,1.0,1.224862498633272,0.43560727879894734,True,1997.0
219,Norway,1997.0-2001.0,0.76,0.8825,75.7485,1.0,-0.2004187269076636,0.4641497705443397,True,2001.0
220,Norway,2001.0-2005.0,0.74,0.915,77.22275,1.0,-0.4654924408683404,0.48590068711502,True,2005.0
221,Norway,2005.0-2009.0,0.765,0.98,78.38125,1.0,-2.219081527132559,0.5048991960429442,False,2009.0
222,Norway,2009.0-2013.0,0.7575000000000001,0.99,79.67925,1.0,-1.9792289742330371,0.5127580868608069,True,2013.0
223,Norway,2013.0-2017.0,0.76,0.89,81.28475,1.0,-1.1923091434097746,0.5113160666539561,False,2017.0
224,Norway,2017.0-2021.0,0.6975,0.9450000000000001,82.79025,1.0,-1.5831766964609406,0.46599169090268394,True,2021.0
225,Poland,1990.0-1997.0,0.535,0.9125,61.426375,0.96,-0.13941246250951722,-0.5760643951082968,True,1997.0
226,Poland,1997.0-2001.0,0.5125,0.98,61.694,0.96,1.9433231353501135,-0.26600743256083853,True,2001.0
227,Poland,2001.0-2005.0,0.48,0.98,61.619749999999996,0.96,1.452424608589412,0.0345077129611608,True,2005.0
228,Poland,2005.0-2007.0,0.525,0.98,61.285,0.96,4.549528937672039,0.0073616194864989,True,2007.0
229,Poland,2007.0-2011.0,0.525,0.98,60.948,0.96,1.6812230988731653,0.19476622370273675,False,2011.0
230,Poland,2011.0-2015.0,0.4925,0.895,60.466,0.96,0.5980598079357493,0.16501180560352818,True,2015.0
231,Poland,2015.0-2019.0,0.545,0.8475,60.0945,0.96,2.526855035735518,-0.5637518516886766,False,2019.0
232,Poland,2019.0-2023.0,0.660554955972475,0.7824961538253047,60.1175,0.96,3.1561273052635586,-0.77899272934127,True,2023.0
233,Portugal,1990.0-1995.0,0.7283333333333334,0.98,49.47683333333333,1.0,-0.041692604335281734,-0.3961316332250626,True,1995.0
234,Portugal,1995.0-1999.0,0.75,0.98,52.75675,1.0,1.5533677989365895,0.1713649432299622,False,1999.0
235,Portugal,1999.0-2002.0,0.6466666666666666,0.98,55.036333333333324,1.0,-0.5972545515680706,0.17883070491543743,True,2002.0
236,Portugal,2002.0-2005.0,0.6833333333333332,0.98,56.90533333333334,1.0,-1.8298963756289215,0.19158279618138807,True,2005.0
237,Portugal,2005.0-2009.0,0.6675,0.98,59.05225,1.0,-1.9325728700565987,0.22152515866580252,False,2009.0
238,Portugal,2009.0-2011.0,0.585,0.98,60.867000000000004,1.0,-2.039802678698753,0.21516851783182322,True,2011.0
239,Portugal,2011.0-2015.0,0.535,1.0,62.64125,1.0,-2.2328741820861855,0.227474551981792,False,2015.0
240,Portugal,2015.0-2019.0,0.55,0.9450000000000001,64.92824999999999,1.0,0.8338247736332179,0.22372152044304375,True,2019.0
241,Portugal,2019.0-2022.0,0.5733333333333334,1.0,66.84666666666668,1.0,-1.1041774014402759,0.1333440683457575,False,2022.0
242,Slovenia,1990.0-1996.0,0.7842857142857144,0.9407142857142858,50.55514285714286,0.5935714285714285,1.1903407637988155,-0.29730654896443964,False,1996.0
243,Slovenia,1996.0-2000.0,0.7124999999999999,0.98,50.7145,0.831,2.22011112761707,-0.18466890970108218,False,2000.0
244,Slovenia,2000.0-2004.0,0.6575,0.98,51.00675,0.831,1.295866952522758,-0.05746379637178678,True,2004.0
245,Slovenia,2004.0-2008.0,0.62,0.98,51.87075,0.831,2.5797105325058185,0.028222899288236777,True,2008.0
246,Slovenia,2008.0-2011.0,0.6566666666666667,0.98,52.657999999999994,0.831,-4.384867197277774,0.08288944575201124,True,2011.0
247,Slovenia,2011.0-2014.0,0.4566666666666667,0.84,53.33233333333334,0.831,-2.5563608444683017,0.15295522448425145,True,2014.0
248,Slovenia,2014.0-2018.0,0.5325,0.8200000000000001,54.15375,0.831,1.4085822899278106,0.16827483218906833,True,2018.0
249,Slovenia,2018.0-2022.0,0.535,0.8675,55.2795,0.831,-0.07629810671579126,-0.05484255571170115,True,2022.0
250,South Korea,1990.0-1996.0,0.79,0.9799999999999999,76.51914285714285,1.0,5.453812298256063,-0.6213391022647105,True,1996.0
251,South Korea,1996.0-2000.0,0.8350000000000001,0.98,79.26375,1.0,2.439742803008695,-0.2802245408283476,True,2000.0
252,South Korea,2000.0-2004.0,0.64,0.98,80.47325000000001,1.0,2.5279917584899394,0.007421478364319327,True,2004.0
253,South Korea,2004.0-2008.0,0.57,0.98,81.55925,1.0,1.9655660747236317,0.04468259280260728,True,2008.0
254,South Korea,2008.0-2012.0,0.5425,0.9175,81.88625,1.0,0.7169943959770935,-0.27240409931313503,False,2012.0
255,South Korea,2012.0-2016.0,0.7425,0.8225,81.6705,1.0,0.40539190028988764,-0.28498397573065604,True,2016.0
256,South Korea,2016.0-2020.0,0.75,0.905,81.45150000000001,1.0,-0.5157410518522785,0.14014947915541148,False,2020.0
257,Spain,1990.0-1996.0,0.75,0.9799999999999999,75.67842857142857,0.68,-0.4967821042220579,0.07225803126050778,True,1996.0
258,Spain,1996.0-2000.0,0.7925,0.915,76.1405,0.68,1.9091497432373377,0.08929898951878096,False,2000.0
259,Spain,2000.0-2004.0,0.745,0.915,76.66900000000001,0.68,-0.35985109935980286,0.09834125272696882,True,2004.0
260,Spain,2004.0-2008.0,0.7424999999999999,0.85,77.62025,0.68,-0.7924939826455831,0.18621035989041895,False,2008.0
261,Spain,2008.0-2011.0,0.6699999999999999,0.7833333333333333,78.44166666666666,0.68,-4.134634868240652,0.2565071293988305,True,2011.0
262,Spain,2011.0-2015.0,0.6325000000000001,0.81,79.25075,0.68,-1.7303878226770206,0.140251114996157,False,2015.0
263,Spain,2015.0-2016.0,0.6,0.81,79.84,0.68,0.8412271935628809,0.1008642683830231,False,2016.0
264,Spain,2016.0-2019.0,0.6166666666666667,0.81,80.322,0.68,-0.16741824023747695,0.018339914279467563,True,2019.0
265,Spain,2019.0-2023.0,0.6438039465836483,0.8281544214783936,81.1805,0.68,-0.9581474260650484,-0.016616320869190227,True,2023.0
266,Sweden,1990.0-1994.0,0.828,0.9800000000000001,83.37039999999999,1.0,-2.7125525906227574,0.39108314560084123,False,1994.0
267,Sweden,1994.0-1998.0,0.8099999999999999,0.98,83.9125,1.0,0.9089193870691898,0.4007271157533363,False,1998.0
268,Sweden,1998.0-2002.0,0.78,0.98,84.057,1.0,0.84187345415416,0.37897519099120497,False,2002.0
269,Sweden,2002.0-2006.0,0.7875000000000001,0.98,84.30075,1.0,0.985562605197613,0.3830525064921363,True,2006.0
270,Sweden,2006.0-2010.0,0.8150000000000001,0.98,84.823,1.0,-1.7713289980918585,0.3842337853377242,False,2010.0
