country,year,group,size
Chile,2019,Whites/mestizos,0.872
Chile,2020,Whites/mestizos,0.872
Chile,2021,Whites/mestizos,0.872
Mexico,1990,Mestizos,0.801
Mexico,1991,Mestizos,0.801
Mexico,1992,Mestizos,0.801
Mexico,1993,Mestizos,0.801
Mexico,1994,Mestizos,0.801
Mexico,1995,Mestizos,0.801
Mexico,1996,Mestizos,0.801
Mexico,1997,Mestizos,0.801
Mexico,1998,Mestizos,0.801
Mexico,1999,Mestizos,0.801
Mexico,2000,Mestizos,0.801
Mexico,2001,Mestizos,0.801
Mexico,2002,Mestizos,0.801
Mexico,2003,Mestizos,0.801
Mexico,2004,Mestizos,0.801
Mexico,2005,Mestizos,0.801
Mexico,2006,Mestizos,0.801
Mexico,2007,Mestizos,0.801
Mexico,2008,Mestizos,0.801
Mexico,2009,Mestizos,0.801
Mexico,2010,Mestizos,0.801
Mexico,2011,Mestizos,0.801
Mexico,2012,Mestizos,0.801
Mexico,2013,Mestizos,0.801
Mexico,2014,Mestizos,0.801
Mexico,2015,Mestizos,0.801
Mexico,2016,Mestizos,0.801
Mexico,2017,Mestizos,0.801
Mexico,2018,Mestizos,0.801
Mexico,2019,Mestizos,0.801
Mexico,2020,Mestizos,0.801
Mexico,2021,Mestizos,0.801
Norway,1990,Norwegians,1.0
Norway,1991,Norwegians,1.0
Norway,1992,Norwegians,1.0
Norway,1993,Norwegians,1.0
Norway,1994,Norwegians,1.0
Norway,1995,Norwegians,1.0
Norway,1996,Norwegians,1.0
Norway,1997,Norwegians,1.0
Norway,1998,Norwegians,1.0
Norway,1999,Norwegians,1.0
Norway,2000,Norwegians,1.0
Norway,2001,Norwegians,1.0
Norway,2002,Norwegians,1.0
Norway,2003,Norwegians,1.0
Norway,2004,Norwegians,1.0
Norway,2005,Norwegians,1.0
Norway,2006,Norwegians,1.0
Norway,2007,Norwegians,1.0
Norway,2008,Norwegians,1.0
Norway,2009,Norwegians,1.0
Norway,2010,Norwegians,1.0
Norway,2011,Norwegians,1.0
Norway,2012,Norwegians,1.0
Norway,2013,Norwegians,1.0
Norway,2014,Norwegians,1.0
Norway,2015,Norwegians,1.0
Norway,2016,Norwegians,1.0
Norway,2017,Norwegians,1.0
Norway,2018,Norwegians,1.0
Norway,2019,Norwegians,1.0
Norway,2020,Norwegians,1.0
Norway,2021,Norwegians,1.0
Turkey,1990,Turkish,0.75
Turkey,1991,Turkish,0.75
Turkey,1992,Turkish,0.75
Turkey,1993,Turkish,0.75
Turkey,1994,Turkish,0.75
Turkey,1995,Turkish,0.75
Turkey,1996,Turkish,0.75
Turkey,1997,Turkish,0.75
Turkey,1998,Turkish,0.75
Turkey,1999,Turkish,0.75
Turkey,2000,Turkish,0.75
Turkey,2001,Turkish,0.75
Turkey,2002,Turkish,0.75
Turkey,2003,Turkish,0.75
Turkey,2004,Turkish,0.75
Turkey,2005,Turkish,0.75
Turkey,2006,Turkish,0.75
Turkey,2007,Turkish,0.75
Turkey,2008,Turkish,0.75
Turkey,2009,Turkish,0.75
Turkey,2010,Turkish,0.75
Turkey,2011,Turkish,0.75
Turkey,2012,Turkish,0.75
Turkey,2013,Turkish,0.75
Turkey,2014,Turkish,0.75
Turkey,2015,Turkish,0.75
Turkey,2016,Turkish,0.75
Turkey,2017,Turkish,0.75
Turkey,2018,Turkish,0.75
Turkey,2019,Turkish,0.75
Turkey,2020,Turkish,0.75
Turkey,2021,Turkish,0.75
Denmark,1990,Danes,1.0
Denmark,1991,Danes,1.0
Denmark,1992,Danes,1.0
Denmark,1993,Danes,1.0
Denmark,1994,Danes,1.0
Denmark,1995,Danes,1.0
Denmark,1996,Danes,1.0
Denmark,1997,Danes,1.0
Denmark,1998,Danes,1.0
Denmark,1999,Danes,1.0
Denmark,2000,Danes,1.0
Denmark,2001,Danes,1.0
Denmark,2002,Danes,1.0
Denmark,2003,Danes,1.0
Denmark,2004,Danes,1.0
Denmark,2005,Danes,1.0
Denmark,2006,Danes,1.0
Denmark,2007,Danes,1.0
Denmark,2008,Danes,1.0
Denmark,2009,Danes,1.0
Denmark,2010,Danes,1.0
Denmark,2011,Danes,1.0
Denmark,2012,Danes,1.0
Denmark,2013,Danes,1.0
Denmark,2014,Danes,1.0
Denmark,2015,Danes,1.0
Denmark,2016,Danes,1.0
Denmark,2017,Danes,1.0
Denmark,2018,Danes,1.0
Denmark,2019,Danes,1.0
Denmark,2020,Danes,1.0
Denmark,2021,Danes,1.0
Korea,1990,Koreans,1.0
Korea,1991,Koreans,1.0
Korea,1992,Koreans,1.0
Korea,1993,Koreans,1.0
Korea,1994,Koreans,1.0
Korea,1995,Koreans,1.0
Korea,1996,Koreans,1.0
Korea,1997,Koreans,1.0
Korea,1998,Koreans,1.0
Korea,1999,Koreans,1.0
Korea,2000,Koreans,1.0
Korea,2001,Koreans,1.0
Korea,2002,Koreans,1.0
Korea,2003,Koreans,1.0
Korea,2004,Koreans,1.0
Korea,2005,Koreans,1.0
Korea,2006,Koreans,1.0
Korea,2007,Koreans,1.0
Korea,2008,Koreans,1.0
Korea,2009,Koreans,1.0
Korea,2010,Koreans,1.0
Korea,2011,Koreans,1.0
Korea,2012,Koreans,1.0
Korea,2013,Koreans,1.0
Korea,2014,Koreans,1.0
Korea,2015,Koreans,1.0
Korea,2016,Koreans,1.0
Korea,2017,Koreans,1.0
Korea,2018,Koreans,1.0
Korea,2019,Koreans,1.0
Korea,2020,Koreans,1.0
Korea,2021,Koreans,1.0
Poland,1990,Poles,0.96
Poland,1991,Poles,0.96
Poland,1992,Poles,0.96
Poland,1993,Poles,0.96
Poland,1994,Poles,0.96
Poland,1995,Poles,0.96
Poland,1996,Poles,0.96
Poland,1997,Poles,0.96
Poland,1998,Poles,0.96
Poland,1999,Poles,0.96
Poland,2000,Poles,0.96
Poland,2001,Poles,0.96
Poland,2002,Poles,0.96
Poland,2003,Poles,0.96
Poland,2004,Poles,0.96
Poland,2005,Poles,0.96
Poland,2006,Poles,0.96
Poland,2007,Poles,0.96
Poland,2008,Poles,0.96
Poland,2009,Poles,0.96
Poland,2010,Poles,0.96
